연도,행정구역,학령인구(명)
2024,경상남도 의령군,2550.0
2025,경상남도 의령군,2205.0
2026,경상남도 의령군,1979.0
2027,경상남도 의령군,1695.0
2028,경상남도 의령군,1556.0
2029,경상남도 의령군,1420.0
2030,경상남도 의령군,1284.0
2021,경상남도 진주시,56046.0
2022,경상남도 진주시,54602.0
2023,경상남도 진주시,52987.0
2024,경상남도 진주시,51207.0
2025,경상남도 진주시,49766.0
2026,경상남도 진주시,49312.0
2027,경상남도 진주시,48925.0
2028,경상남도 진주시,48558.0
2029,경상남도 진주시,48202.0
2030,경상남도 진주시,47855.0
2021,경상남도 창녕군,7243.0
2022,경상남도 창녕군,6880.0
2023,경상남도 창녕군,6597.0
2024,경상남도 창녕군,6174.0
2025,경상남도 창녕군,5398.0
2026,경상남도 창녕군,4896.0
2027,경상남도 창녕군,4542.0
2028,경상남도 창녕군,4216.0
2029,경상남도 창녕군,3937.0
2030,경상남도 창녕군,3668.0
2021,경상남도 창원시,164540.0
2022,경상남도 창원시,159570.0
2023,경상남도 창원시,155619.0
2024,경상남도 창원시,149855.0
2025,경상남도 창원시,144069.0
2026,경상남도 창원시,140937.0
2027,경상남도 창원시,138207.0
2028,경상남도 창원시,135905.0
2029,경상남도 창원시,133603.0
2030,경상남도 창원시,131486.0
2021,경상남도 통영시,20080.0
2022,경상남도 통영시,19479.0
2023,경상남도 통영시,18798.0
2024,경상남도 통영시,18026.0
2025,경상남도 통영시,17286.0
2026,경상남도 통영시,17517.0
2027,경상남도 통영시,17417.0
2028,경상남도 통영시,17496.0
2029,경상남도 통영시,17183.0
2030,경상남도 통영시,17108.0
2021,경상남도 하동군,4992.0
2022,경상남도 하동군,4649.0
2023,경상남도 하동군,4245.0
2024,경상남도 하동군,3780.0
2025,경상남도 하동군,3376.0
2026,경상남도 하동군,3332.0
2027,경상남도 하동군,3276.0
2028,경상남도 하동군,3220.0
2029,경상남도 하동군,3164.0
2030,경상남도 하동군,3110.0
2021,경상남도 함안군,9730.0
2022,경상남도 함안군,9339.0
2023,경상남도 함안군,8983.0
2024,경상남도 함안군,8448.0
2025,경상남도 함안군,7762.0
2026,경상남도 함안군,7345.0
2027,경상남도 함안군,6952.0
2028,경상남도 함안군,6602.0
2029,경상남도 함안군,6267.0
2030,경상남도 함안군,5957.0
2021,경상남도 함양군,3921.0
2022,경상남도 함양군,3748.0
2023,경상남도 함양군,3474.0
2024,경상남도 함양군,3154.0
2025,경상남도 함양군,2750.0
2026,경상남도 함양군,2492.0
2027,경상남도 함양군,2262.0
2028,경상남도 함양군,2037.0
2029,경상남도 함양군,1817.0
2030,경상남도 함양군,1600.0
2021,경상남도 합천군,4240.0
2022,경상남도 합천군,4081.0
2023,경상남도 합천군,3864.0
2024,경상남도 합천군,3420.0
2025,경상남도 합천군,2880.0
2026,경상남도 합천군,2722.0
2027,경상남도 합천군,2506.0
2028,경상남도 합천군,2361.0
2029,경상남도 합천군,2176.0
2030,경상남도 합천군,2044.0
2021,경상북도 경산시,38527.0
2022,경상북도 경산시,38167.0
2023,경상북도 경산시,38089.0
2024,경상북도 경산시,37762.0
2025,경상북도 경산시,36636.0
2026,경상북도 경산시,36732.0
2027,경상북도 경산시,36678.0
2028,경상북도 경산시,36800.0
2029,경상북도 경산시,36786.0
2030,경상북도 경산시,36903.0
2021,경상북도 경주시,32690.0
2022,경상북도 경주시,31570.0
2023,경상북도 경주시,30435.0
2024,경상북도 경주시,29131.0
2025,경상북도 경주시,27469.0
2026,경상북도 경주시,27155.0
2027,경상북도 경주시,26842.0
2028,경상북도 경주시,26517.0
2029,경상북도 경주시,26135.0
2030,경상북도 경주시,25748.0
2021,경상북도 고령군,3805.0
2022,경상북도 고령군,3635.0
2023,경상북도 고령군,3416.0
2024,경상북도 고령군,3175.0
2025,경상북도 고령군,2789.0
2026,경상북도 고령군,2621.0
2027,경상북도 고령군,2407.0
2028,경상북도 고령군,2261.0
2029,경상북도 고령군,2060.0
2030,경상북도 고령군,1938.0
2021,경상북도 구미시,76304.0
2022,경상북도 구미시,74194.0
2023,경상북도 구미시,72287.0
2024,경상북도 구미시,70353.0
2025,경상북도 구미시,68517.0
2026,경상북도 구미시,67822.0
2027,경상북도 구미시,67135.0
2028,경상북도 구미시,66571.0
2029,경상북도 구미시,65926.0
2030,경상북도 구미시,65362.0
2021,경상북도 군위군,2342.0
2022,경상북도 군위군,2293.0
2023,경상북도 군위군,2192.0
2024,경상북도 군위군,2094.0
2025,경상북도 군위군,1817.0
2026,경상북도 군위군,1795.0
2027,경상북도 군위군,1704.0
2028,경상북도 군위군,1690.0
2029,경상북도 군위군,1611.0
2030,경상북도 군위군,1593.0
2021,경상북도 김천시,19010.0
2022,경상북도 김천시,18960.0
2023,경상북도 김천시,18789.0
2024,경상북도 김천시,18408.0
2025,경상북도 김천시,17609.0
2026,경상북도 김천시,17774.0
2027,경상북도 김천시,17564.0
2028,경상북도 김천시,17672.0
2029,경상북도 김천시,17500.0
2030,경상북도 김천시,17563.0
2021,경상북도 문경시,8851.0
2022,경상북도 문경시,8539.0
2023,경상북도 문경시,8170.0
2024,경상북도 문경시,7605.0
2025,경상북도 문경시,6766.0
2026,경상북도 문경시,6412.0
2027,경상북도 문경시,6080.0
2028,경상북도 문경시,5770.0
2029,경상북도 문경시,5469.0
2030,경상북도 문경시,5156.0
2021,경상북도 봉화군,3172.0
2022,경상북도 봉화군,2993.0
2023,경상북도 봉화군,2784.0
2024,경상북도 봉화군,2517.0
2025,경상북도 봉화군,2221.0
2026,경상북도 봉화군,2102.0
2027,경상북도 봉화군,1953.0
2028,경상북도 봉화군,1831.0
2029,경상북도 봉화군,1703.0
2030,경상북도 봉화군,1536.0
2021,경상북도 상주시,11584.0
2022,경상북도 상주시,11219.0
2023,경상북도 상주시,10581.0
2024,경상북도 상주시,10075.0
2025,경상북도 상주시,9400.0
2026,경상북도 상주시,9542.0
2027,경상북도 상주시,9371.0
2028,경상북도 상주시,9433.0
2029,경상북도 상주시,9282.0
2030,경상북도 상주시,9324.0
2021,경상북도 성주군,4500.0
2022,경상북도 성주군,4361.0
2023,경상북도 성주군,4175.0
2024,경상북도 성주군,3923.0
2025,경상북도 성주군,3502.0
2026,경상북도 성주군,3355.0
2027,경상북도 성주군,3139.0
2028,경상북도 성주군,2993.0
2029,경상북도 성주군,2800.0
2030,경상북도 성주군,2647.0
2021,경상북도 안동시,20621.0
2022,경상북도 안동시,20026.0
2023,경상북도 안동시,19154.0
2024,경상북도 안동시,18201.0
2025,경상북도 안동시,17112.0
2026,경상북도 안동시,16725.0
2027,경상북도 안동시,16464.0
2028,경상북도 안동시,16245.0
2029,경상북도 안동시,16083.0
2030,경상북도 안동시,15951.0
2021,경상북도 영덕군,3630.0
2022,경상북도 영덕군,3456.0
2023,경상북도 영덕군,3279.0
2024,경상북도 영덕군,2923.0
2025,경상북도 영덕군,2467.0
2026,경상북도 영덕군,2275.0
2027,경상북도 영덕군,2064.0
2028,경상북도 영덕군,1852.0
2029,경상북도 영덕군,1640.0
2030,경상북도 영덕군,1426.0
2021,경상북도 영양군,914.0
2022,경상북도 영양군,779.0
2023,경상북도 영양군,693.0
2024,경상북도 영양군,596.0
2025,경상북도 영양군,409.0
2026,경상북도 영양군,317.0
2027,경상북도 영양군,272.0
2028,경상북도 영양군,185.0
2029,경상북도 영양군,111.0
2030,경상북도 영양군,45.0
2021,경상북도 영주시,13197.0
2022,경상북도 영주시,12587.0
2023,경상북도 영주시,11971.0
2024,경상북도 영주시,11233.0
2025,경상북도 영주시,10380.0
2026,경상북도 영주시,9988.0
